frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
102,2,ball,VISIBLE,52,0,0.7657,992.29,486.72,8.53,-0.13
103,1,box,VISIBLE,103,0,0.8922,647.23,403.74,-0.02,-0.08
103,2,ball,VISIBLE,53,0,0.8112,1000.22,486.54,8.11,-0.16
104,1,box,VISIBLE,104,0,0.8974,647.23,403.74,-0.01,-0.02
104,2,ball,VISIBLE,54,0,0.8108,1009.0,486.93,8.58,0.22
105,1,box,VISIBLE,105,0,0.898,647.22,403.82,-0.01,0.05
105,2,ball,VISIBLE,55,0,0.8068,1017.8,487.49,8.73,0.46
106,1,box,VISIBLE,106,0,0.9092,647.22,403.88,-0.0,0.06
106,2,ball,VISIBLE,56,0,0.8103,1026.17,488.03,8.48,0.52
107,1,box,VISIBLE,107,0,0.9128,647.23,403.88,0.0,0.01
107,2,ball,VISIBLE,57,0,0.8138,1034.23,487.98,8.18,0.12
108,1,box,VISIBLE,108,0,0.91,647.22,403.81,-0.0,-0.05
108,2,ball,VISIBLE,58,0,0.8237,1042.42,487.8,8.19,-0.08
109,1,box,VISIBLE,109,0,0.9058,647.23,403.76,0.01,-0.04
109,2,ball,VISIBLE,59,0,0.7781,1051.01,487.44,8.47,-0.28
110,1,box,VISIBLE,110,0,0.9079,647.24,403.75,0.01,-0.02
110,2,ball,VISIBLE,60,0,0.7018,1059.36,487.33,8.39,-0.16
111,1,box,VISIBLE,111,0,0.9101,647.23,403.73,-0.0,-0.02
111,2,ball,VISIBLE,61,0,0.7677,1067.09,487.1,7.93,-0.21
112,1,box,VISIBLE,112,0,0.9157,647.23,403.77,-0.0,0.02
112,2,ball,VISIBLE,62,0,0.6204,1075.68,487.4,8.39,0.15
113,1,box,VISIBLE,113,0,0.9185,647.2,403.81,-0.02,0.04
113,2,ball,VISIBLE,63,0,0.6429,1084.01,487.89,8.35,0.39
114,1,box,VISIBLE,114,0,0.9221,647.16,403.83,-0.03,0.02
114,2,ball,VISIBLE,64,0,0.737,1092.26,488.36,8.28,0.44
115,1,box,VISIBLE,115,0,0.918,647.13,403.78,-0.03,-0.02
115,2,ball,VISIBLE,65,0,0.7826,1099.99,488.28,7.89,0.07
116,1,box,VISIBLE,116,0,0.9171,647.13,403.75,-0.01,-0.03
116,2,ball,VISIBLE,66,0,0.731,1107.8,488.17,7.84,-0.05
117,1,box,VISIBLE,117,0,0.9198,647.14,403.73,0.0,-0.03
117,2,ball,VISIBLE,67,0,0.7555,1116.22,488.06,8.25,-0.09
118,1,box,VISIBLE,118,0,0.9153,647.13,403.77,-0.01,0.02
118,2,ball,VISIBLE,68,0,0.7831,1124.49,487.96,8.26,-0.1
119,1,box,VISIBLE,119,0,0.9167,647.13,403.76,-0.0,-0.0
119,2,ball,VISIBLE,69,0,0.8251,1132.44,487.82,8.05,-0.13
120,1,box,VISIBLE,120,0,0.9191,647.13,403.77,-0.0,0.01
120,2,ball,VISIBLE,70,0,0.7216,1140.85,488.08,8.29,0.15
121,1,box,VISIBLE,121,0,0.9227,647.14,403.76,0.01,-0.0
121,2,ball,VISIBLE,71,0,0.8151,1149.26,488.63,8.38,0.43
