frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
91,2,ball,0.5427,875.24,441.42,926.93,531.34,901.09,486.38,51.69,89.93,3,VISIBLE,5.65,-0.24
92,1,box,0.9372,425.15,269.93,869.17,538.39,647.16,404.16,444.01,268.46,1,VISIBLE,-0.16,-0.09
92,2,ball,0.5552,879.92,441.31,932.55,531.33,906.23,486.32,52.62,90.01,3,VISIBLE,5.3,-0.11
93,1,box,0.9329,425.14,269.8,869.2,538.25,647.17,404.02,444.06,268.46,1,VISIBLE,-0.04,-0.12
93,2,ball,0.7819,885.38,441.23,939.4,531.33,912.39,486.28,54.02,90.1,3,VISIBLE,5.9,-0.06
94,1,box,0.9309,425.1,269.76,869.2,538.22,647.15,403.99,444.1,268.46,1,VISIBLE,-0.03,-0.06
94,2,ball,0.8262,893.09,441.16,948.64,531.18,920.86,486.17,55.55,90.02,3,VISIBLE,7.7,-0.1
95,1,box,0.9223,425.02,269.61,869.21,538.1,647.11,403.85,444.19,268.49,1,VISIBLE,-0.03,-0.11
95,2,ball,0.8107,900.71,440.96,958.03,531.04,929.37,486.0,57.32,90.07,3,VISIBLE,8.26,-0.15
96,1,box,0.9235,424.94,269.58,869.35,538.21,647.15,403.89,444.42,268.63,1,VISIBLE,0.01,-0.01
96,2,ball,0.7796,909.62,441.48,968.82,531.59,939.22,486.54,59.2,90.11,3,VISIBLE,9.37,0.33
97,1,box,0.9224,425.02,269.65,869.38,538.23,647.2,403.94,444.36,268.58,1,VISIBLE,0.04,0.03
97,2,ball,0.7225,918.44,442.15,979.56,532.24,949.0,487.2,61.12,90.09,3,VISIBLE,9.66,0.56
98,1,box,0.922,425.05,269.71,869.38,538.24,647.22,403.97,444.33,268.54,1,VISIBLE,0.02,0.03
98,2,ball,0.7907,926.5,442.5,989.64,532.7,958.07,487.6,63.14,90.2,3,VISIBLE,9.25,0.45
99,1,box,0.9183,425.09,269.72,869.38,538.22,647.24,403.97,444.29,268.5,1,VISIBLE,0.02,0.01
99,2,ball,0.8032,933.97,442.13,999.11,532.42,966.54,487.28,65.14,90.29,3,VISIBLE,8.7,-0.09
100,1,box,0.9137,425.06,269.66,869.42,538.2,647.24,403.93,444.36,268.54,1,VISIBLE,0.01,-0.03
100,2,ball,0.7491,941.68,442.05,1008.54,532.16,975.11,487.11,66.86,90.1,3,VISIBLE,8.61,-0.15
101,1,box,0.9118,425.06,269.61,869.45,538.17,647.26,403.89,444.4,268.56,1,VISIBLE,0.01,-0.04
101,2,ball,0.7769,949.56,441.82,1018.11,531.78,983.84,486.8,68.55,89.96,3,VISIBLE,8.69,-0.26
102,1,box,0.9042,425.03,269.53,869.48,538.12,647.26,403.83,444.44,268.59,1,VISIBLE,0.0,-0.06
102,2,ball,0.7657,957.19,441.84,1027.39,531.6,992.29,486.72,70.2,89.76,3,VISIBLE,8.53,-0.13
103,1,box,0.8922,424.96,269.41,869.49,538.06,647.23,403.73,444.54,268.65,1,VISIBLE,-0.02,-0.08
103,2,ball,0.8112,964.26,441.59,1036.18,531.5,1000.22,486.55,71.93,89.91,3,VISIBLE,8.11,-0.16
104,1,box,0.8974,424.87,269.35,869.58,538.13,647.23,403.74,444.71,268.77,1,VISIBLE,-0.01,-0.02
104,2,ball,0.8108,972.26,441.98,1045.75,531.87,1009.01,486.93,73.49,89.89,3,VISIBLE,8.58,0.22
105,1,box,0.898,424.82,269.4,869.62,538.24,647.22,403.82,444.8,268.85,1,VISIBLE,-0.01,0.05
105,2,ball,0.8068,980.23,442.43,1055.37,532.54,1017.8,487.49,75.14,90.11,3,VISIBLE,8.73,0.46
106,1,box,0.9092,424.81,269.45,869.63,538.32,647.22,403.89,444.82,268.87,1,VISIBLE,-0.0,0.06
106,2,ball,0.8103,987.89,442.91,1064.46,533.15,1026.18,488.03,76.57,90.24,3,VISIBLE,8.48,0.52
